SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,60,1,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,0,Electronic check,64.75,4039.5,0
0,0,0,33,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),54.65,1665.2,0
0,0,0,10,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,110.1,1043.3,1
1,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.3,504.2,0
0,0,0,6,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,83.9,497.55,1
0,1,0,67,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,111.25,7511.65,0
0,1,1,49,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,1,Credit card (automatic),35.8,1782.0,0
0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.05,20.05,0
1,0,0,7,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,84.35,609.65,0
1,0,0,27,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),110.5,2857.6,0
0,1,1,37,1,No,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),91.2,3247.55,0
0,1,1,63,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,100.55,6215.35,1
0,1,1,31,1,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,89.3,2823.0,0
0,1,1,50,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.85,5017.9,1
1,0,0,32,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),81.1,2619.25,0
0,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,24.6,24.6,1
0,1,0,63,1,Yes,Fiber optic,No,No,No,Yes,No,No,One year,1,Credit card (automatic),81.2,4965.1,0
0,0,0,30,1,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),94.3,2679.7,0
0,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.1,8310.55,0
0,0,0,53,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,0,Electronic check,105.55,5682.25,0
0,0,0,12,1,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),98.9,1120.95,1
0,1,0,50,1,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),94.4,4914.9,0
0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.5,27.55,0
0,0,0,9,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Credit card (automatic),98.3,923.5,1
0,0,0,17,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,93.85,1625.65,1
0,1,0,56,1,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),105.6,6068.65,0
0,1,1,67,1,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),81.35,5398.6,0
1,0,0,9,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,918.6,1
0,0,0,4,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,56.4,234.85,0
0,0,0,19,1,No,DSL,No,Yes,No,Yes,No,Yes,One year,1,Bank transfer (automatic),65.35,1231.85,0
0,0,1,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,170.9,0
0,0,0,71,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,111.25,7984.15,0
1,0,0,10,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,72.85,688.65,1
1,0,0,15,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Credit card (automatic),89.0,1288.3,0
0,1,1,72,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),106.1,7848.5,0
0,0,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.05,267.0,0
0,1,1,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),25.2,1798.9,0
1,1,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.55,73.55,1
1,0,0,23,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.4,1643.55,0
0,0,0,72,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),65.55,4807.45,0
0,0,0,26,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,80.7,2193.0,0
0,0,0,21,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,104.55,2239.4,0
0,1,0,60,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),24.15,1505.9,0
0,0,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.45,255.35,0
0,1,0,16,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.4,1189.4,0
0,1,0,63,1,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,1,Credit card (automatic),79.7,4786.15,0
1,0,0,22,1,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,0,Electronic check,81.7,1820.9,0
0,1,1,32,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),76.3,2404.15,0
1,0,0,3,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,79.4,205.05,1
0,0,0,13,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,81.15,952.3,1
0,1,1,68,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),103.75,7039.45,0
0,1,1,30,1,No,Fiber optic,No,No,Yes,No,No,Yes,One year,0,Electronic check,86.45,2538.05,0
0,0,0,16,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),75.1,1212.85,0
0,0,0,33,1,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,0,Bank transfer (automatic),80.6,2651.1,0
0,1,0,72,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.3,1304.8,0
1,0,0,4,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.6,360.1,1
0,0,0,12,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,33.6,435.45,0
1,1,0,4,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.25,308.05,0
0,1,1,0,1,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Mailed check,80.85,308.05,0
0,0,0,6,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,79.05,434.5,1
0,1,0,65,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),108.05,7118.9,0
0,0,0,15,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.9,320.45,0
0,0,1,24,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),21.05,531.55,0
0,0,1,13,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.15,382.2,0
0,0,0,24,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),79.85,2001.0,0
0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),65.5,4919.7,0
0,1,1,54,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),104.1,5645.8,0
0,0,0,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),74.4,215.8,1
0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.5,77.6,0
1,1,1,32,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Mailed check,91.35,2896.55,0
1,0,0,35,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.05,3395.8,1
0,1,1,35,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.5,759.35,0
1,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,44.95,85.15,1
0,0,0,8,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,75.6,535.55,0
0,0,0,22,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Mailed check,55.1,1253.15,0
0,0,0,15,1,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,58.95,955.15,0
0,0,0,22,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.1,2162.6,0
0,1,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),44.7,44.7,1
0,1,1,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.45,1813.35,0
0,0,0,4,1,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,0,Electronic check,56.75,245.15,0
0,0,0,25,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),81.75,2028.8,0
0,1,1,32,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,86.1,2723.75,0
1,1,0,7,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),29.8,220.45,0
0,0,0,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,20.5,365.8,0
1,1,0,8,1,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,0,Bank transfer (automatic),60.9,551.95,0
1,0,0,56,1,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Bank transfer (automatic),73.25,4054.2,0
0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,45.7,45.7,1
1,0,0,8,1,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,0,Credit card (automatic),100.3,832.35,1
0,0,0,7,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.25,112.3,1
0,0,1,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,60.65,0
0,0,0,71,1,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,0,Credit card (automatic),77.35,5550.1,0
0,0,0,2,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,96.0,174.8,1
0,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,90.55,90.55,1
0,1,0,49,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),93.85,4733.1,0
0,0,0,58,1,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,0,Bank transfer (automatic),70.1,4048.95,0
1,1,0,44,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,30.35,1359.7,1
0,1,1,59,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),75.95,4542.35,0
0,0,0,71,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,108.05,7532.15,1
0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.9,69.9,1
0,0,0,11,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,75.25,888.65,0
1,1,0,62,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,103.75,6383.35,1
0,1,1,35,1,No,DSL,Yes,No,No,Yes,No,No,One year,1,Bank transfer (automatic),54.95,1916.0,0
0,0,0,20,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.5,413.0,0
0,1,1,40,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.6,808.95,0
0,0,0,39,1,No,DSL,Yes,No,No,No,No,No,One year,1,Electronic check,47.85,1886.4,0
0,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,86.6,86.6,1
0,1,1,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),23.75,1679.25,0
1,1,0,33,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),80.6,2656.5,1
0,0,0,12,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),43.8,540.95,0
0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.75,19.75,0
0,0,1,27,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.15,537.35,0
0,1,1,34,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.6,678.8,0
0,1,0,56,1,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,0,Bank transfer (automatic),80.3,4513.65,0
0,0,0,58,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.35,1423.85,0
0,1,1,22,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.25,555.4,0
0,1,1,10,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),26.1,225.55,0
0,0,0,13,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.0,268.45,0
0,0,0,35,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),85.3,2917.5,1
0,0,0,34,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),70.0,2416.1,1
1,0,0,4,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.3,424.45,1
0,1,0,72,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.7,1492.1,0
0,0,0,2,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,0,Electronic check,70.3,132.4,0
0,0,0,7,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,95.35,660.9,1
1,1,0,27,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.5,1893.95,1
0,1,1,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,69.55,284.9,0
0,0,0,37,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.85,784.25,0
0,0,0,21,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.0,417.7,0
1,1,0,53,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,1,Credit card (automatic),95.85,5016.25,0
0,0,0,18,1,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,1,Electronic check,90.1,1612.75,1
0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,68.95,119.75,1
0,1,1,32,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.55,3204.65,1
1,1,0,23,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.75,485.2,0
0,0,0,3,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,50.15,160.85,0
0,1,1,71,0,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,0,Mailed check,58.65,4145.25,0
0,0,0,9,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),95.9,827.45,0
0,0,0,1,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,49.5,49.5,0
0,1,1,18,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,57.45,990.85,1
0,1,1,12,1,No,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),53.65,696.35,1
0,1,0,71,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Mailed check,80.1,5585.4,0
0,0,0,64,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),24.4,1601.2,0
0,0,0,4,0,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,1,Electronic check,40.05,162.45,0
0,0,0,23,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.5,470.2,0
0,1,1,39,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Credit card (automatic),51.05,2066.0,0
0,1,0,28,1,No,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,54.35,1426.45,0
1,0,0,5,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,84.7,392.5,0
1,1,0,45,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,86.1,3861.45,0
0,0,0,37,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.35,2552.9,0
1,1,0,60,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,6668.35,0
1,0,0,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.6,819.4,1
0,0,0,47,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,0,Credit card (automatic),94.9,4615.25,0
0,1,1,26,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.75,2070.6,1
1,1,1,3,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,88.3,273.75,1
0,1,1,50,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),69.75,3557.7,0
0,1,1,27,1,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),71.6,1957.1,0
1,0,0,8,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,92.1,729.95,1
0,1,0,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),23.65,1416.75,0
0,1,0,71,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),81.85,5924.4,0
0,0,0,66,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.1,1697.7,0
0,1,1,68,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.7,7849.85,0
0,0,0,13,0,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,49.15,649.4,0
0,1,0,56,1,No,Fiber optic,No,No,No,No,No,Yes,One year,1,Electronic check,80.9,4557.5,0
0,1,0,38,1,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,1,Electronic check,79.45,3013.05,1
1,0,0,14,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Credit card (automatic),90.45,1266.1,1
0,0,1,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.3,360.35,0
0,1,1,14,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.2,1046.5,0
0,1,1,32,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),69.75,2347.9,1
0,0,0,8,1,No,DSL,Yes,No,No,Yes,No,No,One year,0,Bank transfer (automatic),54.25,447.75,0
0,1,1,43,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),99.3,4209.95,0
0,0,0,52,1,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,0,Credit card (automatic),74.0,3877.65,0
0,0,0,3,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,50.25,152.3,0
0,0,0,29,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.8,572.2,0
0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.65,19.65,1
1,0,0,12,0,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,1,Electronic check,43.65,526.95,1
0,1,1,16,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),35.5,552.7,0
0,0,0,40,1,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,1,Mailed check,80.75,3208.65,0
0,0,0,5,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,39.5,210.75,1
0,1,0,40,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.1,3706.95,1
0,0,0,36,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.55,620.75,0
0,0,0,5,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,80.0,412.5,1
0,0,0,10,1,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Mailed check,84.7,832.05,1
0,1,1,2,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),89.55,185.55,1
0,0,0,23,1,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Electronic check,90.6,1943.2,1
0,1,1,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.05,505.9,0
1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,112.4,8046.85,0
0,1,0,34,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Bank transfer (automatic),50.2,1815.3,0
0,0,0,10,1,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,0,Bank transfer (automatic),62.25,612.95,0
0,0,0,14,1,No,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,55.7,795.15,0
0,0,0,23,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),90.05,2169.8,1
0,1,0,47,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.65,973.1,0
0,1,0,24,1,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,1,Electronic check,89.25,2210.2,0
0,1,0,49,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),99.05,4853.75,1
1,0,0,20,1,No,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,54.0,1055.9,0
0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),69.75,144.55,1
0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),49.05,91.1,1
0,0,0,22,0,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),56.75,1304.85,0
0,0,0,7,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),98.05,713.0,1
0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.1,21.1,0
0,1,1,59,1,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),96.65,5580.8,0
0,1,1,58,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),24.5,1497.9,0
0,0,0,41,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),114.5,4527.45,1
1,0,0,59,1,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,1,Credit card (automatic),79.2,4590.35,0
0,1,1,3,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.55,200.2,0
0,0,0,32,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.05,614.45,0
1,1,0,46,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.85,4564.9,0
0,1,1,0,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.75,4564.9,0
0,0,0,2,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,80.95,171.15,1
0,1,1,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.6,1012.4,0
1,0,0,13,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,74.3,940.35,1
1,0,0,11,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),89.7,1047.7,1
0,0,0,32,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,0,Bank transfer (automatic),87.65,2766.4,0
1,1,0,17,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),100.45,1622.45,1
0,0,0,16,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),74.75,1129.35,0
0,0,0,51,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Bank transfer (automatic),107.45,5680.9,0
0,0,0,29,1,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),75.35,2243.9,0
0,1,0,70,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Credit card (automatic),64.95,4523.25,0
0,1,1,71,1,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,0,Electronic check,100.45,7159.7,0
